order_id,order_date,region,category,product,customer_id,units,unit_price,discount,revenue,cost
1001,2026-01-05,North,Electronics,Wireless Mouse,C-204,3,25.00,0.00,75.00,45.00
1002,2026-01-07,South,Electronics,Bluetooth Speaker,C-118,1,60.00,0.10,54.00,36.00
1003,2026-01-09,North,Home,Desk Lamp,C-204,2,20.00,0.00,40.00,22.00
1004,2026-01-12,West,Electronics,Wireless Mouse,C-331,5,25.00,0.05,118.75,75.00
1005,2026-01-15,East,Home,Office Chair,C-045,1,150.00,0.00,150.00,95.00
1006,2026-02-02,North,Electronics,Bluetooth Speaker,C-118,2,60.00,0.00,120.00,72.00
1007,2026-02-06,South,Home,Desk Lamp,C-289,4,20.00,0.15,68.00,44.00
1008,2026-02-11,West,Electronics,Laptop Stand,C-331,1,45.00,0.00,45.00,28.00
1009,2026-02-18,East,Electronics,Wireless Mouse,C-045,2,25.00,0.00,50.00,30.00
1010,2026-02-21,North,Home,Office Chair,C-204,1,150.00,0.10,135.00,95.00
1011,2026-03-03,South,Electronics,Bluetooth Speaker,C-118,3,60.00,0.00,180.00,108.00
1012,2026-03-08,West,Home,Desk Lamp,C-331,2,20.00,0.00,40.00,22.00
1013,2026-03-14,East,Electronics,Laptop Stand,C-045,1,45.00,0.00,45.00,28.00
1014,2026-03-19,North,Electronics,Wireless Mouse,C-204,6,25.00,0.05,142.50,90.00
1015,2026-03-25,South,Home,Office Chair,C-289,1,150.00,0.00,150.00,95.00
